Quantity,Value,Footprint,Reference
1,PJ-3.5-365-5P,SCJ325P00XG0B02G,AUDIO1
1,T1102D(6x6x9.5mm),T1102D_6x6,BOOT1
1,P-B-V-40-LF,GBH-254-SMT-40,BUS1
19,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C20, C24, C30, C31, C33, C34, C36"
5,2.2uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C11, C12, C32, C35, C37"
2,18pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C15, C16"
3,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,"C17, C27, C28"
1,1uF/10V/10%/X5R/C0603,C_0603_5MIL_DWS,C18
1,10uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,C19
2,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C23, C29"
1,CABLE PH2.0-3,Cable-IDC,Cable-PWR1
1,pUEXT-CABLE-10-10-200MM,Cable-IDC,Cable-pUEXT1
1,1N4148W/SOD123,SOD-123_1C-2A_KA,D1
1,HDMI-SWM-19,HDMI-SWM-19_Paste,DVI1
1,FSMD035-1206,FUSE-1206,FUSE1
1,SS-12D10L5,SS-12D10L5,HUB_RST_OFF/ON1
1,PH2.0-3PWB,PH2.0-3PWB,PWR_In/Out1
2,Q12MHz/20pF/10ppm/4P/3.2x2.5mm,TSX-3.2x2.5mm_GND(3),"Q1, Q3"
1,BC817-40(SOT23),SOT23,Q2
10,10k/R0402,R_0402_5MIL_DWS,"R1, R12, R13, R14, R15, R16, R17, R26, R27, R28"
2,100R/R0402,R_0402_5MIL_DWS,"R3, R6"
2,27R/R0402,R_0402_5MIL_DWS,"R4, R5"
1,33k/R0402,R_0402_5MIL_DWS,R7
1,150R/R0402,R_0402_5MIL_DWS,R8
1,47R/R1206,R_1206_5MIL_DWS,R9
3,2.2k/R0402,R_0402_5MIL_DWS,"R10, R29, R30"
9,270R/R0402,R_0402_5MIL_DWS,"R11, R18, R19, R20, R21, R22, R23, R24, R25"
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R31, R32"
2,RA1206_(4x0603)_4B8_330R,RA1206_(4X0603)_4B8_xx,"RM1, RM2"
1,Speaker_QMB-09B-03(1.5-5.0V_2.7kHz_F9.0mm*H5.5mm),Speaker_QMB-09B-03_1-Plus_2-Minus,SPK1
1,SLIDE SWITCH DM-04,SLIDE_SWITCH_DM-04(Step_2.54mm),SWITCH1
1,ZD25Q16BTIGT(SOIC-8_208mils),SO-8_208mil,U1
1,RP2040(QFN-56_7x7mm_P0.4mm),QFN56_7x7_Pitch_0.4mm,U2
1,CH217K(SOT23-6L),SOT23-6,U3
1,CH334S(SSOP-28),SSOP28,U4
1,W65C02S6TQTG-14(TQFP44),TQFP44_NEO6502,U5
3,74LVC245APW(TSSOP20),TSSOP20_Pitch-0.65mm_6.6x4.5x1.2mm,"U6, U7, U8"
4,USB-A-SMT-6.3H,USB-A-SMT-6.3H_HOST_Female,"USB-HOST2, USB-HOST3, USB-HOST4, USB-PWR_Out1"
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-PGM1
1,SH1.0-10P-90D,SM10B-SRSS-TB,pUEXT1
